 	Facts
S. Singhvi, J. Leave granted in SLP (C) Nos. 16117 of 2004, 17147 of 2004, 24655 of 2004, 26073 of 2004, 5951 of 2006, 12552 of 2006, 12553 of 2006, 8597 of 2009, 2808728088 of 2011, 28089 of 2011, 2922729330 of 2011, 31975 of 2011 and 13528 of 2012.	None
Of the above noted 23 appeals, 17 have been filed by those who had been awarded contracts by the Government of Karnataka and or its agencies instrumentalities for execution of the particular project works.	Issue
They have challenged the orders passed by the Designated Judge Division Benches of the Karnataka High Court rejecting their prayer for appointment of Arbitrator in terms of the clauses relating to settlement of disputes.	Issue
One appeal has been filed by the contractor who was awarded construction contract by Nagarika Yogbakashema Mathu Gruha Nirmana Sahakara Sangha.	Issue
The remaining 5 appeals have been filed by Karnataka Neeravari Nigam Limited and Kirshna Bhagya Jala Nigam Limited for setting aside the orders passed by the learned Designated Judge whereby he directed the concerned Chief Engineer to act as an Arbitrator.	Issue
For the sake of convenience, we shall notice the facts from the record of Civil Appeal No. 1586 of 2004  P. Dasaratharama Reddy Complex v. The Government of Karnataka and Anr.	None
because arguments were advanced with reference to that case.	None
The Appellant is a contractor engaged in executing work contracts awarded by the Government of Karnataka and its instrumentalities.	Facts
In 1996, the Appellant was awarded contract for construction of bridge between YethabadiBuyyanadoddi across Shimsha river in Malavalli.	Facts
The Appellant did not complete the work by alleging lack of cooperation on the part of Chief Engineer, Communication and Building (South), Bangalore (Respondent No. 2) and then lodged claim for payment of the amount allegedly due to him.	Facts
After some time, the Appellant filed an application under Section 11(6) and (8) of the Arbitration and Conciliation Act, 1996 (for short, the 1996 Act) for appointment of an Arbitrator for adjudication of all the disputes pertaining to Contract No. 5/9697 dated 8.5.1996.	Facts
The Chief Justice of the High Court assigned the application to the Designated Judge, who dismissed the same vide order dated 14.9.2001 by relying upon the judgment in Mysore Construction Co. v. Karnataka Power Corporation Ltd.	Facts
ILR 2000 KAR 4953.	Facts
Paragraphs 5 and 6 of that order read as under The above clause requires the contractor specifically to approach the civil court, if he is not satisfied with the decision of the Chief Engineer.	Facts
It does not provide for reference to arbitration.	Facts
But contrary to the specific term of Clause 29, the Petitioner has sought appointment of Arbitrator instead of approaching the Civil Court.	Facts
I had occasion to consider the question whether such a clause is an arbitration agreement in Mysore Construction Co. v.	Facts
Karnataka Power Corporation Ltd.	Facts
ILR 2000 KAR 4953 and held that the said clause is not an arbitration agreement.	Facts
Following the said decision and for the reasons stated therein, it has to be held that Clause 29 relied on by Petitioner is not an arbitration agreement.	Facts
The writ petition filed by the Appellant questioning the order of the Designated Judge was dismissed by the Division Bench of the High Court by observing that Clause 29 of the Contract cannot be construed as an Arbitration Agreement or an Arbitration Clause for settlement of disputes.	Facts
