 SANJIV KHANNA, J. Applications seeking intervention impleadment are allowed.	Decision
Considering the nature of controversy involved, this Court, with the consent of the counsels for the parties, vide order dated 29 th June 2020 had deemed it appropriate to hear and decide challenge to the validity of the notifications dated 29 th March 2019 bearing S.O. Numbers.	Issue
1478E,1479E, 1480E and 1481E pending in several Writ Petitions filed before different High Courts.	Issue
We have also examined and decided the connected challenge to the Trade Notice dated 16 th April 2019 issued by the Directorate General of Foreign Trade on the ground of excessive delegation as not being in accord with subsection (2) to Section 3 read with the bar under subsection (3) to Section 6 of the Foreign Trade (Development and Regulation) Act, 1992 (hereinafter referred to as FTDR Act).	Issue
Accordingly, we had heard arguments and by this common judgment would be disposing of the respective Writ Petitions, subject matter of these Transfer Petitions.	Issue
This decision would also apply to the Writ Petitions filed by the intervening applicants.	None
For the sake of convenience, we would be referring the Central Government and the authorities collectively as the Union of India and the Writ Petitioners synchronously as importers.	None
For clarity and wherever necessary we have referred to the Directorate General of Foreign Trade, as the DGFT.	None
DGFT is an authority constituted under the FTDR Act and appointed by the Central Government to advise them on foreign trade policy and is responsible for carrying out that policy.	None
Factual background and legal issues.	None
The Union of India, vide Notification dated 29 th March 2019, had exercised the powers conferred to it under Section 3 of the FTDR Act, read with paragraphs 1.02 and 2.01 of the Foreign Trade Policy, 20152020 and amended the import policy conditions of items of Chapter 7 of the Indian Trade Classification (Harmonized System), 2017, ScheduleI (Import Policy) as under O. 1478(E).	Facts
In exercise of powers conferred by section 3 of the Foreign Trade (Development and Regulation) Act, 1992 (22 of 1922), read with paragraphs 1.02 and 2.01 of the Foreign Trade Policy, 20152020, as amended from time to time, the Central government hereby amends the Import Policy Conditions of items of Chapter 7 of the Indian Trade Classification (Harmonized System), 2017, ScheduleI (Import Policy), as under table This notification shall come into force from the date of its publication in the official Gazette.	Facts
xx xx	None
xx	None
O. 1479(E).	None
In exercise of powers conferred by section 3 of the Foreign Trade (Development and Regulation) Act, 1992 (22 of 1922), read with paragraphs 1.02 and 2.01 of the Foreign Trade Policy, 20152020, as amended from time to time, the Central government hereby amends the Import Policy Conditions of items of Chapter 7 of the Indian Trade Classification (Harmonized System), 2017, ScheduleI (Import Policy), as under table This notification shall come into force with effect from 1 st April, 2019.	Facts
xx xx	None
xx	None
O. 1480(E).	None
In exercise of powers conferred by section 3 of the Foreign Trade (Development and Regulation) Act, 1992 (22 of 1922), read with paragraphs 1.02 and 2.01 of the Foreign Trade Policy, 20152020, as amended from time to time, the Central government hereby amends the Import Policy Conditions of items of Chapter 7 of the Indian Trade Classification (Harmonized System), 2017, ScheduleI (Import Policy), as under table This notification shall come into force from the date of its publication in the official Gazette.	Facts
xx xx	None
xx	None
O. 1481(E).	None
In exercise of powers conferred by section 3 of the Foreign Trade (Development and Regulation) Act, 1992 (22 of 1922), read with paragraphs 1.02 and 2.01 of the Foreign Trade Policy, 20152020, as amended from time to time, the Central government hereby amends the Import Policy Conditions of items of Chapter 7 of the Indian Trade Classification (Harmonized System), 2017, ScheduleI (Import Policy), as under table This notification shall come into force from 1 st April, 2019.	Facts
The Trade Notice dated 16 th April 2019 issued by the DGFT had laid down the modalities for making applications for import of Peas, beans of Moong and Urad and Pigeon Peas and had inter alia stipulated as under Applications are invited online from the intending millers refiners (having own refining processing capacity) of pulses for its import as per ANF2M of FTP 201520 to DGFT, at policy2dgftnic.in besides the concerned jurisdictional Regional Authorities.	Facts
Earlier, the Union of India had issued a notification dated 25 th April, 2018 under Section 3 of FTDR Act read with the paragraphs 1.02 and 2.01 of the Export Import (EXIM) policy 20152020 by which peas were revised from free to restricted category for a period of three months, with a stipulation that during the period 1 st April, 2018 to 30 th June, 2018 total quantity of 1 lakh MT of Yellow Peas minus the quantity already imported from 1 st April, 2018 would be allowed against licence as per the procedure to be notified by the DGFT.	Facts
The words already imported were defined to include shipment already arrived from 1 st April,2018 to 25 th April, 2018 and those shipments backed by irrevocable letter of credit or advance payments made through banking channel before 25 th April, 2018.	Facts
Considering the hardships faced by the traders who had made advance payments, the DGFT vide Trade Notice No. 19 dated 5 th July 2018 had allowed the import of Peas proportionate to the advance payments made before 25 th April 2018.	Facts
By another Trade Notice dated 6 th July 2018, Peas, other than Yellow Peas, imported during the intervening period between 25 th April 2018 to 15 th May 2018 and awaiting clearance at customs or consignment of Peas with Bill of Lading prior to 16 th May 2018 were permitted freely.	Facts
By the third Trade Notice dated 17 th August 2018, import of maximum 125 MT of Peas per contract, irrespective of the advance payment, made before 25 th April 2018, was allowed.	Facts
The Union of India had even earlier issued notifications dated 5 th August 2017 and 21 st August 2017 revising import of beans of Urad Moong and Pigeon Peas Toor dal from free to restricted with stipulations as to annual (fiscal year) quota and requirement of a prior licence from the DGFT.	Facts
By notifications dated 24 th April 2018 import of beans of Urad Moong and Pigeon Peas Toor dal was to remain restricted requiring a prior licence with stipulation as to annual quota for the fiscal year 201819.	Facts
M s. Hira Traders had filed Writ Petition Nos. 1592115924 of 2018 before the High Court of Judicature at Madras challenging Notification No. 4/201520 dated 25 th April 2018 and Trade Notices No. 05/2018 dated 9 th May 2018, No. 10/201819 dated 16 th May 2018 and No. 12/2018 dated 18 th May 2018 respectively.	Facts
It had also prayed for permission by way of an interim order to import Peas as per the contracts.	Facts
By interim order dated 28 th June 2018, the operation of Notification dated 25 th April 2018 was stayed by the Madras High Court, thereby permitting imports without an import licence.	Facts
Several traders had thereafter filed Writ Petitions before different High Courts challenging imposition of restrictions on import of Peas and pulses and interim orders were passed staying the notifications which had the effect of permitting imports without any restriction as to quota or licence.	Facts
The primary grounds raised in the Writ Petitions before the High Courts were The impugned notifications issued by the DGFT had the effect of modifying or amending the EXIM policy as the specified items were withdrawn from the free category and moved to restricted category.	Facts
