 	Arguments of Respondent
S. Singhvi, J. Leave granted.	None
This appeal filed by Delhi Jal Board for setting aside an interlocutory order passed by the Division Bench of the Delhi High Court whereby it has been directed to deposit Rs.79,000/ with Delhi High Court Legal Services Committee in addition to Rs.1.71 lacs already paid to the families of the deceased worker, namely, Rajan is one of the several thousand cases filed by the State and or its agencies instrumentalities to challenge the orders passed by the High Courts for ensuring that the goal of justice set out in the preamble to the Constitution of India is fulfilled, at least in some measure, for the disadvantaged sections of the society who have been deprived of fundamental rights to equality, life and liberty for last more than 6 decades.	None
The appeal is also illustrative of how the State apparatus is insensitive to the safety and well being of those who are, on account of sheer poverty, compelled to work under most unfavourable conditions and regularly face the threat of being deprived of their life.	None
The laws enacted by Parliament and State legislatures provide for payment of compensation to the legal representatives of those killed in air, rail or motor accident.	Facts
The legal representatives of a workman, who dies while on duty in a factory industry establishment get a certain amount of compensation.	Facts
Even those who are killed in police action get compensation in the form of exgratia announced by the political apparatus of the State.	Facts
However, neither the law makers nor those who have been entrusted with the duty of implementing the laws enacted for welfare of the unorganized workers have put in place appropriate mechanism for protection of persons employed by or through the contractors to whom services meant to benefit the public at large are outsourced by the State and or its agencies instrumentalities like the appellant for doing works, which are inherently hazardous and dangerous to life nor made provision for payment of reasonable compensation in the event of death.4.	Facts
Since the legal representatives of the persons who work in the sewers laid or maintained by the State and or its agencies instrumentalities on their own or through the contractors and who get killed due to negligence of the employer do not have the means and resources for seeking intervention of the judicial apparatus of the State, the National Campaign for Dignity and Rights of Sewerage and Allied Workers, which is engaged in the welfare of sewage workers filed Writ Petition No.5232/2007 in the Delhi High Court to highlight the plight of sewage workers many of whom died on account of contemptuous apathy shown by the public authorities and contractors engaged by them and even private individuals enterprises in the matter of providing safety equipments to those who are required to work under extremely odd conditions.	Facts
In paragraphs 4 to 6 and 8 of the petition, the petitioner made the following averments That the Petition seeks to highlight the plight of sewage workers in Delhi.	None
Delhi generates large quantities of sewage.	None
At present, the total quantity of sewage generated is 2871 mld.	None
Delhi Jal Board is responsible for treatment and disposal of wastewater through a network of about 5600 km of internal, peripheral and trunk sewers, for which approximately 5500 sewage workers are employed with Delhi Jal Board for maintenance of the sewage system and other related works.	None
The working conditions for sewage workers are such that they are not only exposed to maximum risk against numerous toxic and harmful substances, but also they face suffocation and accidental deaths, while working.	None
These workers suffer from high morality and morbidity due to such exposure at workplace.	None
Hereto marked and annexed as Annexure P1 are the photographs showing the sewage workers of Delhi as photographed by Indian Express.	None
These photographs tell the sad story of the plight of these workers as of today.5.	None
Scores of sewage manhole workers die every year doing this work in Delhi.	None
These deaths are rarely documented.	None
On 7.5.07 it was reported by Navbharat Times that in 2003 the following deaths of manhole workers took placeDatePlaceNumber of Deaths22 MarchBrahmpuri123 MarchShahdara211 AprilShaktinagar325 JuneRithala STP5JulyConnaught3?Place?JulyOkhla1OctoberUttamnagar4In 2004 the following deaths took placeDatePlaceNumber of Deaths24 MayVazirpur325 MayGautampuri111 JuneSamaypur2JulyVazirpur2OctoberRohini2OctoberPadpadur2Hereto annexed an (Annexure P2 is the translated copy of the news article titled Thekedaron Ki Laparwahi se ho rahi hain mauten appearing in Navbharat Times on 7.05.07.6.	None
Even in year 2007, on 6.5.07 three sewage workers Ramemsh, Santosh and Ashish while working inside the sewer inhaled poisonous gases and died of suffocation.	None
Hereto marked and annexed as Annexure P3 is the news report appearing in the Times of India dated 7.5.2007.	None
The accident took place near Madrasi Nallah in front of Vijay Enclave, Dabri (South West Delhi).	None
The claiming work was being done in complete violation of the National Human Rights Commission guidelines.	None
The victims worked without any helmet or gas masks, which are mandatory, as stated by NHRC, for the kind of work, they were doing.	None
Neither there was any first aid kit with the workers nor artificial respirators and portable ladders were made available to them by the contractors.	None
Apparently contractors violated all the rules and guidelines.8.	None
That, a report has been prepared by Centre for Education and Communication in collaboration with Occupational Health Safety Management Consultancy Services on Health Safety Status of Sewage Workers in Delhi.	None
The report concludesThe workers are suffering from high mortality and morbidity due to exposure at workplace.	None
33 workers had died in last 2 years due to accidents while working on the blocked sewer linesFiftynine per cent of the workers enter underground sewer manholes more than 10 times a month and half of them have to work more than 8 hours a day.	None
While working in underground pipelines, an overwhelming majority of them have had cuts or injuries, experienced irritation of eyes and suffered from skin rash.	None
Fortyone workers have reported syncope, and other 24 reported temporary loss of consciousness.	None
A little over one third of the workers had been immunized against tetanus while none of them had been vaccinated against hepatitis B.Approximately 46 per cent of workers across all age group were found to be underweight according to Body Mass Index (BMI) calculation.	None
37 per cent have less hemoglobin than the normal range.	None
More than 65 per cent have higher eosin Phil count (6 per cent) in spite of having normal leukocyte counts (91 per cent).	None
None of the samples tested for HBsAg were tested positive.	None
Results of urine examination pointed to irreversible damaged done to the body organ system.	None
More than 50 per cent of the pulmonary function tests results were abnormal.	None
Chest Xrays results further confirmed the loss of functional capacity of the respiratory system of the workers.	None
None of the worker has been given any formal communication by the employer about the hazard present during the work.	None
None has been trained to provide first aid during any miss happeningusage of other protective gears like gloves, mask, and shoes were bare minimum.	None
Even supply of necessary safety gears was not adequate to meet the requirements.	None
All daily wagers were getting a wage of approximately 2950 rupees per months without any other benefit irrespective of service period.	None
The petitioner then referred to order dated 15.6.2006 passed by the Gujarat High Court in Special Civil Application No. 8989/2001  Kamdar Swasthya Suraksha Mandal and Special Civil Application No.11706/2004  the Manhole Workers Union and Lok Adhikar Sangh and made various prayers including issue of a mandamus directing the respondents to provide every sewage worker with protective gears, clothing and equipments in terms of the order passed by the Gujarat High Court in the two Civil Special Applications, pay compensation of Rs.10 lacs to the families of the workers who died after entering the manhole for sewage cleaning and make provision for comprehensive medical checkup of all the sewage workers and provide them medical treatment free of cost along with full wages for the period of illness.	None
After taking cognizance of the averments contained in the writ petition, the Division Bench of the High Court issued notice to the respondents and also made a request to one of the Judges  Dr. Justice S. Muralidhar, to make an attempt to find out workable solution to the problems faced by sewage workers.	Facts
The learned Judge heard the representatives of the writ petitioner, appellant and other instrumentalities of the State, examined the documents produced by them and passed order dated 5.4.2008 incorporating therein several suggestions for protection of the workers engaged in cleaning of manhole etc The Division Bench of the High Court, considered the suggestions made by Dr. Justice S. Muralidhar, the affidavits and documents filed by the appellant and the New Delhi Municipal Council and passed detailed order dated 20.8.2008, paragraphs 9 and 10 of which read as under Having considered the various reports made by the concerned agencies and also the submissions made by the concerned agencies and also the submissions made at the bar, we pass the following interim directions pending final disposal of this writ petition(a) The medical examination and medical treatment will be given free of charge to sewer workers and the treatment will continue for all such workers found to be suffering from an occupational disease, ailment or accident until the workman is cured or until death.(b)	Facts
The services of the sewer workers are not to be terminated, either by the respondents or the contractors engaged by them, during the period of illness and they shall be treated as if on duty and will be paid their wages.(c) Compensation shall be paid by the respondents and recoverable from the contractors, if permissible in law, to all the workmen suffering from any occupational disease, ailment or accident in accordance with the provisions of the Workmens Compensation Act, 1923.(d)	None
The respondents shall pay on the death of any worker, including any contract worker, an immediate ex gratia solatium of Rs.	None
One lac with liberty to recover the same from contractors, if permissible in law.(e)	None
The respondents shall pay ensure payment of all statutory dues such as Provident Fund, Gratuity and Bonus to all the sewer workers, including contract workers, as applicable in law.(f)	None
The respondents shall provide as soon as possible modern protective equipments to all the sewer workers in consultation with the petitioner organization.(g)	None
The respondents shall provide soap and oil to all the workmen according to the present quota, but on monthly basis and not at the end of the year.(h)	None
The respondents shall provide restrooms and canteens, in accordance with the DJB model rules, including therein firstaid facilities, safe drinking water, washing facilities, latrines and urinals, shelters, crhches and canteens as set out in the model rules.	None
There are to be provided at what is known as stores which are the places where the workers assemble to give their attendance and from where they depart to their respective work sites.(i)	None
The respondents shall provide all workman, including contract workmen, with an accidentcardcum wageslip as set out in clause 8 of the C.P.W.D. PWD (DA) Delhi Jal Board Contractors Labour Regulations (for short Labour Regulations).(j)	None
The respondents shall provide all workers, including contract workers, employment cards as set out in clause 9 of the Labour Regulations and, on termination of services provide the contract workers and others with a service certificate as set out in clause 10 of the Labour Regulations.(k)	None
The respondents shall authenticate by signing the payment of wages register for contract workers in terms of clause 5 of the Labour Regulations.(l)	None
The respondents shall submit to this court and to the petitioner within four weeks from today the full list of contract workers and contractors engaged for work relating to the sewers together with the wages paid to such workmen and the number of years of employment of the workers.(m)	None
The DJB is directed to ensure that the exgratia payment in case of deaths of sewer workers has been paid to the families of deceased workmen and in case such compensation is not paid, release the same within a period of eight weeks.(n) NDMC is directed to pay ex gratia payment of Rs. one lac each in respect of the accident of 7th December, 2003 where three persons working under the NDMC contractors died, with liberty to recover the same from the contractor, if permissible in law.(o)	None
