 	Decision
This appeal arises out of a suit instituted by one Madanlal Agrawal for eviction of Bharat Coking Coal Limited from land and buildings allegedly owned by him adjacent to the coal mine known as Victory Colliery, which had vested in the Central Government by virtue of the Coal Mines (Nationalisation) Act, 1973.	Issue
Victory Colliery was owned by United Mining Company Private Limited.	Facts
The case of the appellant is that the company was practically a one man company.	Facts
If the corporate veil is lifted, it will be found that Madanlal Agrawal was de facto owner of the company.	Facts
Madanlal Agrawals case is that he had in his individual capacity purchased certain properties together with structures thereon by registered deeds of sale dated 7.7.1949 and 24.3.1950 and built further structures and remodeled them.	Facts
The United Mining Company Private Limited took these structures on monthly rent.	Facts
These structures were utilised as office premises of Victory Colliery as also staff quarters.	Facts
Eviction was sought for nonpayment of monthly rent for several years.	Facts
Bharat Coking Coal Limited in its written statement alleged that the said properties were bought with the moneys belonging to the colliery and as such the land and the structures really belonged to the company.	Facts
The alleged payment of rent by Victory Colliery to Madanlal Agrawal was only a paper transaction and for tax benefit.	Facts
All the purchases were made by United Mining Company and sources of investment came from the funds of the said company.	Facts
It may be mentioned that even before the Coal Mines (Nationalisation) Act came into force on 1.5.1973, the management of Victory Colliery along with the disputed properties were taken over by the Central Government on 1.1.1973.	Facts
No objection was taken thereto by the plaintiff.	Facts
It was only on 1.1.1976 the plaintiff issued a legal notice to the appellant to vacate the suit premises and to pay arrears of rent from January, 1973 till the filing of the suit.	Facts
Title Suit (T.S. No. 7/6 of 1976) for eviction was filed on 2.2.1976.	Facts
On 21.5.1979, the 1st Additional Subordinate Judge dismissed the suit with costs.	Facts
The respondent preferred an appeal against the judgment and decree passed by the Trial Court.	Facts
It was allowed by the Division Bench of the Patna High Court.	Facts
The High Court was of the view that right, title and interest in the suit premises had not vested in the Central Government.	Facts
Bharat Cooking Coal Limited in respect of the suit premises was a tenant under Madanlal Agrawal.	Facts
Since it had defaulted in payment of rent for the period from January, 1973, it was liable to be evicted from the suit premises.	Facts
Therefore, the respondents suit was decreed.	Facts
A further direction was given to pay the arrears of rent to the tune of Rs. 66,000 and mesne profits.	Facts
The Trial Court on examination of the facts came to the conclusion that there was no relationship of landlord and tenant between the plaintiff and the defendant, it found that Bharat Cooking Coal Limited was maintaining the said premises since vesting of victory Colliery in the Central Government.	Facts
The cost of repairs, electricity and water charges in respect of the suit premises were to be borne by the United Mining Company on behalf of the colliery before its nationalisation.	Facts
Madanlal Agrawal, the plaintiff stated in crossexamination that he was the director of the United Mining Company.	Facts
The other director was his own brother.	Facts
He also stated that he had got the account books to prove that he purchased the suit premises out of personal funds but he did not file the same.	Facts
He also stated that the Company used to pay rent of the suit property but he did not produce the rent receipts.	Facts
He also admitted that he could not say when he constructed the house and what was the total cost.	Facts
The expenses of electricity and water connections in the suit properties were paid by the United Mining Company.	Facts
He admitted in the crossexamination that the employees of United Mining Company were in occupation of the suit premises.	Facts
The office store, compressor room, garage etc. of the Victory Colliery were in the suit properties.	Facts
The suit premises were used by United Mining Company exclusively for the purpose of Victory Colliery.	Facts
The Trial Judge observed that it appears that defendant No. 2 is nobody but the family member of the plaintiff.	Facts
The Trial judge came to the conclusion that in view of these facts and also in view of the provisions of the Coal Mines (Nationalisation) Act, the suit was not maintainable and the plaintiff was not entitled to any of his claims.	Facts
