 	Issue
These appeals are directed against the judgment and order passed by the High Court of Judicature, Andhra Pradesh at Hyderabad in Special Appeal No. 27 of 1996, dated 20.01.2005.	Issue
By the impugned judgment and order, the High Court has come to the conclusion that since the transactions in question are interState sales, the Respondentdealer would not be exigible to tax for the assessment year 19891990 under the Andhra Pradesh General Sales Tax Act, 1957 (for short, the Act).	Issue
Briefly stated, facts in the instant case are The RespondentAssessee is a registered dealer under the Act and under the Central Sales Tax Act, 1956 (for short, the CST Act) with effect from 21.02.1989.	Facts
The Assessee is engaged in the manufacture of Beedi and has its factory and head office at Sholapur in the State of Maharashtra.	Facts
It operates in the State of Andhra Pradesh through its registered branch office at Sirsilla Road, Kamareddy town, Nizamabad District, Andhra Pradesh.	Facts
The Assessee is the branch office of the RespondentCompany.	Facts
The Assessee had purchased Beedi leaves, for Rs. 1,07,51,740/ and Rs. 1,01,35,636/ for the assessment years 19891990 and 19921993 respectively, by participating in the auction conducted by the Forest Department, Government of Andhra Pradesh (for short, the seller).	Facts
After the purchase, the Assessee had dispatched the said Beedi leaves to the head office in the State of Maharashtra.	Facts
Subsequently, the branch office of the RespondentCompany claimed an exemption on its gross and net turnover of Rs. 1,07,51,740/ and Rs. 1,01,35,636/ for the said assessment years on the ground that the aforesaid transaction is in the nature of interState sale and therefore, is not exigible to tax under Entry 18, Second Schedule of the Act.	Facts
The Commercial Taxes Officer, Kamareddy (for short, the CTO), by its orders dated 11.03.1992 and 31.07.1993 in G.I. No. 646/198990 and G.I. No. 646/199293 respectively, has rejected the claim for exemption made by the Assessee and held that the sale is a single point sale where Assessee was the final purchaser within the State and thus, the taxable event took place in the State.	Facts
Being aggrieved by the said order(s) passed by the assessing authority, the Assessee had carried the matter(s) in appeal before the First Appellate Authority, i.e., the Appellate Deputy Commissioner, Secunderabad Division, Hyderabad.	Facts
The First Appellate Authority allowed the appeal(s) filed by the Assessee holding that the transactions were interState sales and not liable to be taxed under the Act.	Facts
The First Appellate Authority by its order dated 19.10.1993, after setting aside the assessment order, remanded the matter(s) back to the Assessment Officer for reassessment.	Facts
During the pendency of the matter(s) before the CTO, the Commissioner of Commercial Taxes issued a show cause notice to the Assessee and proposed to revise the aforesaid order passed by the First Appellate Authority, dated 14.11.1994.	Facts
After the receipt of a reply by the Assessee, the revision proceedings were initiated Under Section 20(1) of the Act.	Facts
The Assessee had adopted the stand that after the purchase and delivery of Beedi leaves from the seller, the leaves were dispatched to their head office at Sholapur in the State of Maharashtra as branch transfer and hence the transaction was not liable to tax in the State of Andhra Pradesh.	Facts
The Assessee has further contended that since the transport the Beedi leaves to their head office at Sholapur was the primary intention of purchase and the Assesseebranch office merely acted as a conduit pipe of the head office of the RespondentCompany for proper movement of goods, the sale ought to be deemed complete after its delivery to the head office and therefore, the transaction must be considered as an interState sale.	Facts
The Assessee, in conclusion submitted that the purchases are in the nature of interState trade and consequently, the sale of Beedi leaves is not exigible to tax Under Section 38 of the Act.	Facts
The Revisional Authority, considering the aforesaid submissions, has observed that the office of the Assessee at Kamareddy is not an agency but a branch office of the RespondentCompany and therefore, the transactions effected by the Assessee are not agency transactions on behalf of the nonresident principal.	Facts
Further, it has observed that since the delivery took place in the State of Andhra Pradesh at the godowns of the seller and it is only thereafter that the goods were transferred at the instance and application of the Assessee specifying the mode of transport, route of transport and the destination to which the goods have to be transported, it could be deduced that the transaction took place in the State of Andhra Pradesh between the seller and the Assessee.	Facts
Therefore, the Revisional Authority has come to the conclusion that the transaction is liable to tax under the Act and set aside the order of the First Appellate Authority and consequently, restored the order passed by the CTO, dated 23.02.1996.	Facts
Aggrieved by the order so passed, the Assessee had approached the High Court by way of Special Appeal No. 27 of 1996.	Facts
The High Court has observed that the goods in the present case were purchased for the purpose of transport to the head office of the RespondentCompany situated in the State of Maharashtra, the same being implicit in the agreement of purchase itself that the goods had to be transported and utilized in the State of Maharashtra, and thus, the sale qualifies as an interState sale of goods.	Facts
Therefore, the High Court has concluded that the Revisional Authority was not justified in revising the order of remand assessment passed by the First Appellate Authority and while allowing the appeal, has held that the Respondent herein was not excisable to tax for the assessment year 19891990 under the Act.	Facts
Aggrieved by the aforesaid judgment and order passed by the High Court, the Revenue is before us in these appeals.	Facts
We have heard learned Counsel appearing for the parties to the lis.	None
Learned Counsel for the Revenue would submit that the High Court has erred by declaring the transaction herein as interState sale when the said incidence of sale has no nexus with the transportation and movement of goods to another State for utilization.	Arguments of Petitioner
He would submit that, since the transaction of sale between the purchaser and the seller, under the tender issued by the sellerForest Department, gets concluded at the payment for goods by the purchaser, the subsequent transportation to the destination does not have any association with the sale transaction and therefore, the said sale could not be qualified as the interState sale and ought to be exigible to tax under the Act.	Arguments of Petitioner
12.	None
Per contra, learned Counsel for the Assessee would support the judgment and order passed by the High Court and contend that the movement of the goods from the State of Andhra Pradesh to the State of Maharashtra is inextricably connected to the sale of goods and thus, the sale ought to be considered as one in the nature of interState sale and therefore, the transaction would not be exigible to tax under the Act.	Arguments of Respondent
The learned Counsel, in support of his contention, would refer to the decision of this Court in State of Orissa and Anr.	Arguments of Respondent
v. K.B. Saha and Sons Industries Pvt. Ltd.	Arguments of Respondent
and	Arguments of Respondent
Ors.	Arguments of Respondent
Etc. (2007) 9 SCC 97 , wherein the sale and purchase of Kendu leaves were deemed to have taken place in the course of interState trade.	Arguments of Respondent
We have given our anxious consideration to the submissions made by the parties to the lis and carefully and perused judgment(s) and order(s) passed by the High Court and other authorities.	None
The short point that arises in this case for our consideration and decision is whether the transactions in question are exigible to tax in the State of Andhra Pradesh under the provisions of the Act.	Issue
At the outset, we would discuss the decision of this Court in K.B. Sahas case relied upon by learned Counsel for the RespondentAssessee to fortify his stand.	Reasoning
In our view, this decision does not apply to the facts and circumstances of the present case.	Reasoning
The facts in the instant case are materially distinguishable from the facts in the aforesaid case.	Reasoning
Therein, the Assessee carried on business in tobacco and Kendu leaves and had its registered office in the State of West Bengal, that is, outside the State of Orissa where the buyer is situated and the auction was conducted.	Reasoning
The purchaser was neither situated in the State of Orissa nor registered as a dealer under the West Bengal Sales Tax, 1994.	Reasoning
Since the place of business of all entities of the Assessee were located outside the State of Orissa, the Court considering the same held that the sale was inextricably connected to the transportation of the goods outside the borders of the State of Orissa so as to render the sale transaction complete and therefore, was an interState sale.	Reasoning
In the instant case, the Assesseebranch office situated in the State of Andhra Pradesh is a registered dealer under the Act and has participated in the sale transaction as the purchaser of goods from the seller.	Reasoning
It is only subsequent to the payment and delivery of goods, the Assessee transports them to the head office of the RespondentCompany in the State of Maharashtra.	Reasoning
The sale transaction concludes between the State Department and the auction purchaser as and when the payment is made by the latter and the incidence of transport has no link to the already concluded sale transaction.	Reasoning
To resolve the controversy raised in this appeal, Section 3(a) of the CST Act requires to be noticed.	Issue
Section 3 enunciates the principle that when a Sale or purchase of goods can be said to have taken place in the course of interstate trade or commerce.	Reasoning
The Section reads as under Section 3.	None
When is a sale or purchase of goods said to take place in the course of interstate trade or commerce A sale or purchase of goods shall be deemed to take place in the course of interState trade or commerce if the sale or purchase (a) occasions the movement of goods from one State to another In order to understand the purport of interState sale as per Section 3(a) of the Central Sales Tax Act, 1956, it is profitable to refer to the decisions rendered by this Court on the subject matter.	None
In Kelvinator of India Ltd. v. The State of Haryana (1973) 2 SCC 551 , this Court observed that A sale of goods can be held to have taken place in the course of interState trade Under Clause (a) of Section 3 of the Act if it can be shown that the sale has occasioned the movement of goods from one State to another.	None
A sale in the course of interState trade has three essentials (i) there must be a sale, (ii) the goods must actually be moved from one State to another, and (iii) the sale and movement of the goods must be part of the same transaction.	None
The word occasions is used as a verb and means to cause or to be the immediate cause of.	None
(Emphasis supplied)	None
In Tata Iron and Steel Co. Ltd. v. S.R. Sarkar and Ors.	None
(1961) 1	None
SCR 379 , this Court held that Under Section 3(a) of the CST Act, in an interState sale, the material fact is movement of goods from one State to another as an incident or result of sale and therefore, consequently the movement of goods should arise from or have a nexus to the sale.	None
In South India Viscose Ltd. v. State of Tamil Nadu (1981) 1981 3 SCC 457, this Court observed that it is only if there is a conceivable link between a contract of sale and the movement of goods from one State to another in order to discharge the obligation under the contract of sale, it must be held to be an interState sale.	Reasoning
On consideration of the principles enunciated in the aforesaid decisions of this Court, it becomes abundantly clear that in order to constitute an interState sale, the movement of goods should be occasioned by the sale and the movement of goods and the sale must be inextricably connected.	Reasoning
In view of the above, it would be beneficial for us to notice the decisions wherein this Court has laid down the principles pertaining to interState sale.	Reasoning
The Constitution Bench of this Court in Cement Marketing Co. of India (P) Ltd. v. State of Mysore (1963) 3 SCR 777 , inter alia, noticed the that in order for a sale or purchase to be considered as InterState it would be essential that there must be transport of goods from one State to another under the said contract of sale or purchase.	Reasoning
The Constitution Bench, vide a detailed judgment, in support of the aforesaid principle of law, observed as follows In Endupuri Narasimbam v. State of Orissa, it was held in the case of sales covered by Article 286(1)(b) that only sale or purchase of goods which occasions the export or import of the goods out of or into the territory of India were exempt from the imposition of tax on the sale or purchase of goods and in regard to prohibition against imposition of tax on interState sales the test, it was said, was that in order that a sale or purchase might be interState it is essential that there must be transport of goods from one State to another under the contract of sale or purchase.	Reasoning
The following observations from the Bengal Immunity Co. Ltd. v. State of Bihar were quoted with approval in support of the proposition A sale could be said to be in the course of interState trade only if two conditions concur A sale of goods, and (2) a transport of those goods from one State to another under the contract of sale.	Reasoning
Unless both these conditions are satisfied, there can be no sale in the course of interState trade.	Reasoning
Thus the tests which have been laid down to bring a sale within interState sales are that the transaction must involve movement of goods across the border (Mohanlal Hargovind case transactions are interState in which as a direct result of such sales the goods are actually delivered for consumption in another State Ram Narain and Sons v. Assistant Commissioner of Sales Tax a contract of sale must involve transport of goods from one State to another under the contract of sale Bengal Immunity Company case.	Reasoning
In the case of sales in the course of export or import the test laid down was a series of integrated activities commencing from an agreement of sale and ending with the delivery of goods to a common carrier for export by land or by sea Bombay Company Ltd. case The principle that a sale would be an interState sale only if the movement of the goods was the result of a covenant in the contract of sale or an incident of that contract has also been noticed in Union of India v. K.G. Khosla and Co. Ltd.	Reasoning
(1979) 2 SCC 242.	None
Further, in the case of Sahney Steel and Press Works Ltd. v. CTO (1985) 4 SCC 173 , this Court was required to consider whether the transaction therein constituted an interState sale.	Reasoning
It was a case wherein the buyer placed an order with the branch office of the Assessee therein, situate at Bombay, Calcutta and Coimbatore.	Reasoning
The given branch office then communicated the terms and specifications of the orders to the registered office of the Assessee, situate at Hyderabad, and for the purpose of fulfilling that order the manufactured goods commenced their journey from the registered office within the State of Andhra Pradesh to the branch office outside the State for delivery of the goods to the buyer.	Reasoning
The Assessee therein contended that when the registered office has dispatched the manufactured goods to its branch office, it ought to be considered merely as a transfer of stock from the registered office to the branch office.	Reasoning
This Court relied upon its earlier decision in the case of English Electric Co. of India Ltd. v. Deputy Commercial Tax Officer (1976) 4 SCC 460 , to observe that when the movement of the goods from one State to another is an incident of a given contract it is an interState sale, and what would be decisive is whether the given contract of sale is one which occasions the movement of goods from one State to another.	Reasoning
This Court, in Sahney Steel and Press Works Ltd. case (supra), held as follows 8The manufacture of the goods at the Hyderabad factory and their movement thereafter from Hyderabad to the branch office outside the State was an incident of the contract entered into with the buyer, for it was intended that the same goods should be delivered by the branch office to the buyer.	Reasoning
There was no break in the movement of the goods.	Reasoning
The branch office merely acted as a conduit through which the goods passed on their way to the buyer.	Reasoning
It would have been a different matter if the particular goods had been despatched by the registered office at Hyderabad to the branch office outside the State for sale in the open market and without reference to any order placed by the buyer.	Reasoning
In such a case if the goods are purchased from the branch office, it is not a sale under which the goods commenced their movement from Hyderabad.	Reasoning
It is a sale where the goods moved merely from the branch office to the buyer The aforementioned principle laid down in Sahney Steel and Press Works Ltd. case (supra), that there must be a conceivable link between the movement of goods and the given contract of sale for the transaction to constitute an interstate sale, has further been followed in Ashok Leyland Ltd. v. State of T.N. (2004) 3 SCC 1 and in IDL Chemicals Ltd. v. State of Orissa (2007) 14 SCC 386.	None
It may be pertinent to note that the factual scenario in the aforementioned cases, namely Sahney Steel and Press Works Ltd. case (supra), Ashok Leyland Ltd. case (supra) and IDL Chemicals Ltd. case (supra), are different from the instant case, however the principle of law enunciated would remain applicable.	Reasoning
The said aforementioned cases deal with the scenario wherein the head or registered office, situated in one State, would forward goods to the branch office, situated in a different State, in pursuance to an order placed by a buyer before the given branch office.	Reasoning
